Area,Category,Fuel_Type,Year,Energy_Gen
All,non-renewable,Black coal,1989-90,87573
All,non-renewable,Brown coal,1989-90,33594
All,non-renewable,Natural gas,1989-90,14359
All,non-renewable,Oil products,1989-90,3552
All,renewable,Bagasse_wood,1989-90,750
All,renewable,Hydro,1989-90,14880
All,non-renewable,Black coal,1990-91,89511
All,non-renewable,Brown coal,1990-91,36048
All,non-renewable,Natural gas,1990-91,10772
All,non-renewable,Oil products,1990-91,3396
All,renewable,Bagasse_wood,1990-91,769
All,renewable,Hydro,1990-91,16103
All,non-renewable,Black coal,1991-92,94325
All,non-renewable,Brown coal,1991-92,34559
All,non-renewable,Natural gas,1991-92,11633
All,non-renewable,Oil products,1991-92,2362
All,renewable,Bagasse_wood,1991-92,670
All,renewable,Hydro,1991-92,15768
All,renewable,Small-scale solar PV,1991-92,11
All,non-renewable,Black coal,1992-93,97873
All,non-renewable,Brown coal,1992-93,33248
All,non-renewable,Natural gas,1992-93,12295
All,non-renewable,Oil products,1992-93,2421
All,renewable,Bagasse_wood,1992-93,670
All,renewable,Hydro,1992-93,16953
All,renewable,Small-scale solar PV,1992-93,13
All,non-renewable,Black coal,1993-94,100544
All,non-renewable,Brown coal,1993-94,34890
All,non-renewable,Natural gas,1993-94,12199
All,non-renewable,Oil products,1993-94,2320
All,renewable,Bagasse_wood,1993-94,670
All,renewable,Wind,1993-94,4
All,renewable,Hydro,1993-94,16649
All,renewable,Small-scale solar PV,1993-94,16
All,non-renewable,Black coal,1994-95,102522
All,non-renewable,Brown coal,1994-95,35832
All,non-renewable,Natural gas,1994-95,14913
All,non-renewable,Oil products,1994-95,2738
All,renewable,Bagasse_wood,1994-95,670
All,renewable,Biogas,1994-95,53
All,renewable,Wind,1994-95,7
All,renewable,Hydro,1994-95,16239
All,renewable,Small-scale solar PV,1994-95,19
All,non-renewable,Black coal,1995-96,106090
All,non-renewable,Brown coal,1995-96,39427
All,non-renewable,Natural gas,1995-96,12445
All,non-renewable,Oil products,1995-96,2805
